Ref,ResourceGroupName,NSGName,FileName
1,SH-JHAZ-SHARED-001-RGP-01,SH-JHAZ-SHARED-001-NSG-01,CommonInfra-Rules.csv
2,SH-JHAZ-SHARED-001-RGP-01,SH-JHAZ-SHARED-001-NSG-01,JHAZ-SHARED-001-NSG-01.csv
3,SH-JHAZ-SHARED-901-RGP-01,SH-JHAZ-SHARED-901-NSG-01,CommonInfra-Rules.csv
4,SH-JHAZ-SHARED-901-RGP-01,SH-JHAZ-SHARED-901-NSG-01,JHAZ-SHARED-901-NSG-01.csv
5,SH-JHAZ-POC-901-RGP-01,SH-JHAZ-POC-901-NSG-01,JHAZ-POC-901-NSG-01.csv
6,SH-JHAZ-INFRA-001-RGP-01,SH-JHAZ-INFRA-001-NSG-01,CommonInfra-Rules.csv
7,SH-JHAZ-INFRA-001-RGP-01,SH-JHAZ-INFRA-001-NSG-01,JHAZ-INFRA-001-NSG-01.csv
8,SH-JHAZ-INFMGMT-001-RGP-01,SH-JHAZ-INFMGMT-001-NSG-01,CommonInfra-Rules.csv
9,SH-JHAZ-INFMGMT-001-RGP-01,SH-JHAZ-INFMGMT-001-NSG-01,JHAZ-INFMGMT-001-NSG-01.csv
10,SH-JHAZ-INFMGMT-901-RGP-01,SH-JHAZ-INFMGMT-901-NSG-01,CommonInfra-Rules.csv
11,SH-JHAZ-INFMGMT-901-RGP-01,SH-JHAZ-INFMGMT-901-NSG-01,JHAZ-INFMGMT-901-NSG-01.csv
